FileName,Dataset,text,label2a,split,Sentiment,Original FileName,Starting,Ending
common_voice_en_18124427,Common Voice,Is he a drunkard or what?,1,0,negative,,,
common_voice_en_166070,Common Voice,Take your paws off me!,1,0,negative,,,
common_voice_en_134599,Common Voice,You could save that poor devil's life.,1,0,positive,,,
common_voice_en_3822,Common Voice,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
common_voice_en_11939756,Common Voice,The play seems dull and quite stupid.,1,0,negative,,,
common_voice_en_17526699,Common Voice,"You're not psychotic, you just wish you were?",1,0,positive,,,
common_voice_en_497812,Common Voice,That insane android continues to ignore me.,1,0,negative,,,
common_voice_en_17279987,Common Voice,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_604431,Common Voice,Adam is a crook.,1,0,negative,,,
common_voice_en_17296690,Common Voice,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_631932,Common Voice,Why don't you shut up!,1,0,negative,,,
common_voice_en_17294401,Common Voice,"You're not psychotic, you just wish you were?",1,0,positive,,,
common_voice_en_569830,Common Voice,I think you're crazy.,1,0,positive,,,
common_voice_en_89781,Common Voice,Why don't you shut up!,1,0,negative,,,
common_voice_en_642524,Common Voice,Maybe he really is a fool.,1,0,negative,,,
common_voice_en_18480024,Common Voice,You yellow giant thing of the frost.,1,0,negative,,,
common_voice_en_193392,Common Voice,Hundreds of yelling people are swarming into the park like locusts!,1,0,negative,,,
common_voice_en_19972968,Common Voice,"Gally sees Sue is upset, learns all and confronts Ronnie with his idiocy.",1,0,negative,,,
common_voice_en_17824214,Common Voice,Don't be a pessimist!,1,0,positive,,,
common_voice_en_119299,Common Voice,Why don't you shut up!,1,0,negative,,,
common_voice_en_512805,Common Voice,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_17329294,Common Voice,Is he a drunkard or what?,1,0,negative,,,
common_voice_en_17265286,Common Voice,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
common_voice_en_525436,Common Voice,Maybe he really is a fool.,1,0,negative,,,
common_voice_en_28086,Common Voice,Hundreds of yelling people are swarming into the park like locusts!,1,0,negative,,,
common_voice_en_18328292,Common Voice,Don't get your knickers in a twist,1,0,negative,,,
common_voice_en_36583,Common Voice,Adam is a crook.,1,0,negative,,,
common_voice_en_649119,Common Voice,With that new haircut you look ridiculous.,1,0,negative,,,
common_voice_en_390322,Common Voice,A bully is always a coward.,1,0,negative,,,
common_voice_en_17808137,Common Voice,A bully is always a coward.,1,0,negative,,,
common_voice_en_572942,Common Voice,I'll kill both of them!,1,0,negative,,,
common_voice_en_478337,Common Voice,Why don't you shut up!,1,0,negative,,,
common_voice_en_8496311,Common Voice,Dont be a fool!,1,0,positive,,,
common_voice_en_151003,Common Voice,I accuse this man of being a faker!,1,0,negative,,,
common_voice_en_21016317,Common Voice,"""The man's an absolute drivelling ass,"" said Carter warmly.",1,0,positive,,,
common_voice_en_345449,Common Voice,There's a group of unruly teens bumming around in your garden.,1,0,negative,,,
common_voice_en_519844,Common Voice,Don't be a pessimist!,1,0,positive,,,
common_voice_en_5538596,Common Voice,Is he a drunkard or what?,1,0,negative,,,
common_voice_en_676236,Common Voice,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_22471057,Common Voice,"It involves the surreal adventures of ""the boy with unfeasibly large testicles"".",1,0,positive,,,
common_voice_en_18430011,Common Voice,"Because, boys and ladies and gentlemen, he is a pessimist.",1,0,negative,,,
common_voice_en_575164,Common Voice,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_9461990,Common Voice,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_91446,Common Voice,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_17288161,Common Voice,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_18102208,Common Voice,The play seems dull and quite stupid.,1,0,negative,,,
common_voice_en_36003,Common Voice,You've got the brain of a pancake.,1,0,positive,,,
common_voice_en_17979190,Common Voice,The play seems dull and quite stupid.,1,0,negative,,,
common_voice_en_17265797,Common Voice,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_15735722,Common Voice,Why can't I skip this damn intro?,1,0,negative,,,
