FileName,Dataset,text,label2a,Starting,Ending
common_voice_en_18124427,Common Voice,Is he a drunkard or what?,1,,
common_voice_en_17284170,Common Voice,"No man or woman is worth your tears, and the one who is, won't make you cry.",0,,
common_voice_en_563142,Common Voice,They rode for the entire day.,0,,
common_voice_en_166070,Common Voice,Take your paws off me!,1,,
common_voice_en_23948174,Common Voice,Will the embassy issue a statement later?,0,,
common_voice_en_17813191,Common Voice,It was an old car.,0,,
common_voice_en_17296447,Common Voice,Won't you sit down?,0,,
common_voice_en_77574,Common Voice,I've got to get Katie out of jail!,0,,
common_voice_en_20425526,Common Voice,"His Victoria Cross is displayed at the Glenbow Museum in Calgary, Alberta.",0,,
common_voice_en_19100603,Common Voice,"The name first appears in Domesday Book as ""Bovi"" and possibly earlier as ""Buui"".",0,,
common_voice_en_134599,Common Voice,You could save that poor devil's life.,1,,
common_voice_en_597073,Common Voice,That woman stole my purse!,0,,
common_voice_en_24017947,Common Voice,"Bree ends the conversation by telling everyone that, ""Rex cries after he ejaculates"".",0,,
common_voice_en_3822,Common Voice,"The grim reaper is waiting for you, reckless driver!",1,,
common_voice_en_57050,Common Voice,Let's deploy chirp modulation.,0,,
common_voice_en_11939756,Common Voice,The play seems dull and quite stupid.,1,,
common_voice_en_22160235,Common Voice,He attended Rongotai College.,0,,
common_voice_en_18422108,Common Voice,Did you see that? I can hardly believe it!,0,,
common_voice_en_17526699,Common Voice,"You're not psychotic, you just wish you were?",1,,
common_voice_en_20850729,Common Voice,"Snare and Perry Richardson, and formed FireHouse.",0,,
common_voice_en_497812,Common Voice,That insane android continues to ignore me.,1,,
common_voice_en_689770,Common Voice,Get out of here.,0,,
common_voice_en_18425130,Common Voice,You need to put your rubbish into the dustbin,0,,
common_voice_en_206488,Common Voice,Jitterbugs JOHN and the COLONEL.,0,,
common_voice_en_17279987,Common Voice,What idiot wrote this total drivel?,1,,
common_voice_en_17333757,Common Voice,"Remember, remember, the fifth of November!",0,,
common_voice_en_655519,Common Voice,Two young girls are in an enclosure filled with balls.,0,,
common_voice_en_604431,Common Voice,Adam is a crook.,1,,
common_voice_en_19626344,Common Voice,A phase comparison can be made by connecting two signals to a two-channel oscilloscope.,0,,
common_voice_en_34171,Common Voice,He who wronged you will hate you.,0,,
common_voice_en_17296690,Common Voice,"Alice, who the fuck is Bob?",1,,
common_voice_en_631932,Common Voice,Why don't you shut up!,1,,
common_voice_en_11659377,Common Voice,"The door was barred, locked, and bolted as well.",0,,
common_voice_en_514922,Common Voice,The bright lanterns were gay on the dark lawn.,0,,
common_voice_en_17294401,Common Voice,"You're not psychotic, you just wish you were?",1,,
common_voice_en_18491205,Common Voice,Crash and burn.,0,,
common_voice_en_655014,Common Voice,What good is money to you if you're going to die?,0,,
common_voice_en_569830,Common Voice,I think you're crazy.,1,,
common_voice_en_18124493,Common Voice,The bright lanterns were gay on the dark lawn.,0,,
common_voice_en_21344638,Common Voice,"A well organized local government as established with the executive known as ""Capitan"".",0,,
common_voice_en_20235310,Common Voice,Highland lies just south of the Borman Expressway.,0,,
common_voice_en_629490,Common Voice,Those gangsters get what they deserve.,0,,
common_voice_en_22782881,Common Voice,"She was examined by medical doctors, with no conclusion.",0,,
common_voice_en_666910,Common Voice,"If you are a beginner and don't mind pausing after each command, you can stop reading now.",0,,
common_voice_en_19635146,Common Voice,"It will not be a millennium of man's devising, however.",0,,
common_voice_en_17456555,Common Voice,"Well, I have one last play left to try, and this one's a classic.",0,,
common_voice_en_625683,Common Voice,He's nuts about you.,0,,
common_voice_en_500904,Common Voice,"If you lie down with dogs, you'll get up with fleas.",0,,
common_voice_en_17276684,Common Voice,Did you see it?,0,,
common_voice_en_20781991,Common Voice,"It is used for product or process ""design"" in contrast with process ""improvement"".",0,,
