FileName,Dataset,FileName,text,label2a,split,Sentiment,Original FileName,Starting,Ending
common_voice_en_18124427,Common Voice,common_voice_en_18124427,Is he a drunkard or what?,1,0,negative,,,
common_voice_en_166070,Common Voice,common_voice_en_166070,Take your paws off me!,1,0,negative,,,
common_voice_en_134599,Common Voice,common_voice_en_134599,You could save that poor devil's life.,1,0,positive,,,
common_voice_en_3822,Common Voice,common_voice_en_3822,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
common_voice_en_11939756,Common Voice,common_voice_en_11939756,The play seems dull and quite stupid.,1,0,negative,,,
common_voice_en_17526699,Common Voice,common_voice_en_17526699,"You're not psychotic, you just wish you were?",1,0,positive,,,
common_voice_en_497812,Common Voice,common_voice_en_497812,That insane android continues to ignore me.,1,0,negative,,,
common_voice_en_17279987,Common Voice,common_voice_en_17279987,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_604431,Common Voice,common_voice_en_604431,Adam is a crook.,1,0,negative,,,
common_voice_en_17296690,Common Voice,common_voice_en_17296690,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_631932,Common Voice,common_voice_en_631932,Why don't you shut up!,1,0,negative,,,
common_voice_en_17294401,Common Voice,common_voice_en_17294401,"You're not psychotic, you just wish you were?",1,0,positive,,,
common_voice_en_569830,Common Voice,common_voice_en_569830,I think you're crazy.,1,0,positive,,,
common_voice_en_89781,Common Voice,common_voice_en_89781,Why don't you shut up!,1,0,negative,,,
common_voice_en_642524,Common Voice,common_voice_en_642524,Maybe he really is a fool.,1,0,negative,,,
common_voice_en_18480024,Common Voice,common_voice_en_18480024,You yellow giant thing of the frost.,1,0,negative,,,
common_voice_en_193392,Common Voice,common_voice_en_193392,Hundreds of yelling people are swarming into the park like locusts!,1,0,negative,,,
common_voice_en_19972968,Common Voice,common_voice_en_19972968,"Gally sees Sue is upset, learns all and confronts Ronnie with his idiocy.",1,0,negative,,,
common_voice_en_17824214,Common Voice,common_voice_en_17824214,Don't be a pessimist!,1,0,positive,,,
common_voice_en_119299,Common Voice,common_voice_en_119299,Why don't you shut up!,1,0,negative,,,
common_voice_en_512805,Common Voice,common_voice_en_512805,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_17329294,Common Voice,common_voice_en_17329294,Is he a drunkard or what?,1,0,negative,,,
common_voice_en_17265286,Common Voice,common_voice_en_17265286,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
common_voice_en_525436,Common Voice,common_voice_en_525436,Maybe he really is a fool.,1,0,negative,,,
common_voice_en_28086,Common Voice,common_voice_en_28086,Hundreds of yelling people are swarming into the park like locusts!,1,0,negative,,,
common_voice_en_18328292,Common Voice,common_voice_en_18328292,Don't get your knickers in a twist,1,0,negative,,,
common_voice_en_36583,Common Voice,common_voice_en_36583,Adam is a crook.,1,0,negative,,,
common_voice_en_649119,Common Voice,common_voice_en_649119,With that new haircut you look ridiculous.,1,0,negative,,,
common_voice_en_390322,Common Voice,common_voice_en_390322,A bully is always a coward.,1,0,negative,,,
common_voice_en_17808137,Common Voice,common_voice_en_17808137,A bully is always a coward.,1,0,negative,,,
common_voice_en_572942,Common Voice,common_voice_en_572942,I'll kill both of them!,1,0,negative,,,
common_voice_en_478337,Common Voice,common_voice_en_478337,Why don't you shut up!,1,0,negative,,,
common_voice_en_8496311,Common Voice,common_voice_en_8496311,Dont be a fool!,1,0,positive,,,
common_voice_en_151003,Common Voice,common_voice_en_151003,I accuse this man of being a faker!,1,0,negative,,,
common_voice_en_21016317,Common Voice,common_voice_en_21016317,"""The man's an absolute drivelling ass,"" said Carter warmly.",1,0,positive,,,
common_voice_en_345449,Common Voice,common_voice_en_345449,There's a group of unruly teens bumming around in your garden.,1,0,negative,,,
common_voice_en_519844,Common Voice,common_voice_en_519844,Don't be a pessimist!,1,0,positive,,,
common_voice_en_5538596,Common Voice,common_voice_en_5538596,Is he a drunkard or what?,1,0,negative,,,
common_voice_en_676236,Common Voice,common_voice_en_676236,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_22471057,Common Voice,common_voice_en_22471057,"It involves the surreal adventures of ""the boy with unfeasibly large testicles"".",1,0,positive,,,
common_voice_en_18430011,Common Voice,common_voice_en_18430011,"Because, boys and ladies and gentlemen, he is a pessimist.",1,0,negative,,,
common_voice_en_575164,Common Voice,common_voice_en_575164,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_9461990,Common Voice,common_voice_en_9461990,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_91446,Common Voice,common_voice_en_91446,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_17288161,Common Voice,common_voice_en_17288161,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_18102208,Common Voice,common_voice_en_18102208,The play seems dull and quite stupid.,1,0,negative,,,
common_voice_en_36003,Common Voice,common_voice_en_36003,You've got the brain of a pancake.,1,0,positive,,,
common_voice_en_17979190,Common Voice,common_voice_en_17979190,The play seems dull and quite stupid.,1,0,negative,,,
common_voice_en_17265797,Common Voice,common_voice_en_17265797,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_15735722,Common Voice,common_voice_en_15735722,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_19460961,Common Voice,common_voice_en_19460961,"Angelique plays sexual games with her victims, and Pinhead toys with mortals for amusement.",1,0,negative,,,
common_voice_en_17863644,Common Voice,common_voice_en_17863644,"You're not psychotic, you just wish you were?",1,0,positive,,,
common_voice_en_122338,Common Voice,common_voice_en_122338,Typical American that can keep his mouth shut.,1,0,positive,,,
common_voice_en_18045745,Common Voice,common_voice_en_18045745,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_18134626,Common Voice,common_voice_en_18134626,You are so rude!,1,0,negative,,,
common_voice_en_17391412,Common Voice,common_voice_en_17391412,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_17253194,Common Voice,common_voice_en_17253194,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_81036,Common Voice,common_voice_en_81036,There's a group of unruly teens bumming around in your garden.,1,0,negative,,,
common_voice_en_198817,Common Voice,common_voice_en_198817,Her low self-esteem is pathetic.,1,0,negative,,,
common_voice_en_17508279,Common Voice,common_voice_en_17508279,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_134947,Common Voice,common_voice_en_134947,He's insane or drunk or something.,1,0,negative,,,
common_voice_en_20065396,Common Voice,common_voice_en_20065396,Antonio teases her for such foolishness.,1,0,negative,,,
common_voice_en_18403725,Common Voice,common_voice_en_18403725,You are a silly young geezer.,1,0,negative,,,
common_voice_en_514246,Common Voice,common_voice_en_514246,Adam is a crook.,1,0,negative,,,
common_voice_en_7937512,Common Voice,common_voice_en_7937512,"They're silly, their buckets are over there behind mine.",1,0,neutral,,,
common_voice_en_268514,Common Voice,common_voice_en_268514,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_17636372,Common Voice,common_voice_en_17636372,"Security, kick this guy out!",1,0,negative,,,
common_voice_en_18540879,Common Voice,common_voice_en_18540879,You must be mad.,1,0,negative,,,
common_voice_en_36320,Common Voice,common_voice_en_36320,You could save that poor devil's life.,1,0,positive,,,
common_voice_en_583688,Common Voice,common_voice_en_583688,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_17366734,Common Voice,common_voice_en_17366734,Your behavior is embarrassing; go learn the art of social intercourse!,1,0,negative,,,
common_voice_en_19502455,Common Voice,common_voice_en_19502455,"His mother, a religious fanatic, has indoctrinated him since childhood to hate women.",1,0,negative,,,
common_voice_en_23942817,Common Voice,common_voice_en_23942817,"Like all bloody bigots, he thinks he feels God's mercy moving in him.",1,0,neutral,,,
common_voice_en_17932199,Common Voice,common_voice_en_17932199,The hell you say!,1,0,positive,,,
common_voice_en_535106,Common Voice,common_voice_en_535106,Adam is a crook.,1,0,negative,,,
common_voice_en_388998,Common Voice,common_voice_en_388998,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_18466956,Common Voice,common_voice_en_18466956,Youre a serpent; and theres no use denying it.,1,0,positive,,,
common_voice_en_18648549,Common Voice,common_voice_en_18648549,Why not open the damn thing and see?,1,0,negative,,,
common_voice_en_367766,Common Voice,common_voice_en_367766,Her purse was full of useless trash.,1,0,negative,,,
common_voice_en_20748158,Common Voice,common_voice_en_20748158,"Homosexual acts are considered sinful and ""contrary to the will of God"".",1,0,negative,,,
common_voice_en_17515492,Common Voice,common_voice_en_17515492,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_17976461,Common Voice,common_voice_en_17976461,Your behavior is embarrassing; go learn the art of social intercourse!,1,0,negative,,,
common_voice_en_18666550,Common Voice,common_voice_en_18666550,"""She should have come by the omnibus,"" he repeated and repeated stupidly.",1,0,negative,,,
common_voice_en_19781745,Common Voice,common_voice_en_19781745,I put all my effort into living; any dope can drop dead.,1,0,negative,,,
common_voice_en_148458,Common Voice,common_voice_en_148458,That insane android continues to ignore me.,1,0,negative,,,
common_voice_en_1530687,Common Voice,common_voice_en_1530687,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_18143438,Common Voice,common_voice_en_18143438,Her low self-esteem is pathetic.,1,0,negative,,,
common_voice_en_665422,Common Voice,common_voice_en_665422,Typical American that can keep his mouth shut.,1,0,positive,,,
common_voice_en_17385196,Common Voice,common_voice_en_17385196,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_17275335,Common Voice,common_voice_en_17275335,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_136440,Common Voice,common_voice_en_136440,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_17673787,Common Voice,common_voice_en_17673787,Is he a drunkard or what?,1,0,negative,,,
